field_id,field_name,organic_matter_pct,pH,CEC_meq_100g,bulk_density_g_cm3,available_water_capacity_cm,sand_pct,silt_pct,clay_pct,EC_dS_m,field_acres,location,latitude,longitude,k_factor,slope_pct,topsoil_depth_cm,commodity_2023,yield_2023_bu_ac,commodity_2024,yield_2024_bu_ac,commodity_2025,yield_2025_bu_ac,drainage_class
F001,North Field,3.9,7.2,24.2,1.17,0.21,55,38,7,0.6,179,IA,41.97,-93.47,0.15,0.6,34,Wheat,63.1,Wheat,63.1,Wheat,64.3,Well
F002,South Field,3.1,6.4,20.8,1.09,0.2,66,17,17,1.8,138,IA,41.89,-93.75,0.13,2.2,46,Soybeans,76.5,Soybeans,75.0,Soybeans,69.9,Very Poor
F003,East Field,1.5,6.0,11.1,1.51,0.13,59,18,23,0.8,240,IA,41.91,-93.69,0.47,8.1,12,Corn,195.2,Corn,183.4,Corn,181.7,Poor
F004,West Field,3.9,7.0,14.5,1.24,0.14,66,38,-4,0.9,64,IA,41.91,-93.71,0.29,3.5,27,Alfalfa,9.6,Alfalfa,9.3,Alfalfa,10.1,Moderately Well
F005,Valley Plot,1.2,7.4,11.9,1.53,0.12,60,42,-2,1.8,200,IA,41.85,-93.73,0.43,8.7,10,Corn,184.7,Corn,184.6,Corn,182.3,Poor
F006,Hilltop Field,4.4,6.0,19.0,1.19,0.23,46,23,31,0.7,145,IA,41.88,-93.69,0.17,0.8,37,Soybeans,78.9,Soybeans,75.7,Soybeans,77.6,Well
F007,Meadow Pasture,2.0,5.8,10.2,1.44,0.14,21,20,59,1.1,177,IA,41.87,-93.49,0.39,6.3,16,Soybeans,56.5,Soybeans,57.4,Soybeans,51.6,Poor
F008,Cropland A,3.0,6.3,10.0,1.37,0.14,56,47,-3,0.5,145,IA,42.03,-93.65,0.33,3.7,21,Corn,214.6,Corn,210.0,Corn,199.8,Somewhat Poor
F009,Cropland B,4.0,7.5,22.0,1.11,0.2,47,37,16,0.4,221,IA,41.82,-93.71,0.17,2.8,28,Soybeans,70.1,Soybeans,71.2,Soybeans,71.6,Well
F010,Pasture North,4.0,7.1,23.8,1.12,0.22,35,47,18,0.4,236,IA,41.96,-93.49,0.18,1.8,33,Wheat,62.0,Wheat,67.0,Wheat,67.9,Well
F011,Ridge Field,2.8,7.0,18.1,1.28,0.2,69,37,-6,1.2,161,IA,41.82,-93.7,0.27,4.9,20,Alfalfa,9.5,Alfalfa,9.4,Alfalfa,8.9,Moderately Well
