latitude,longitude,date,year,month,temperature_max_c,temperature_min_c,temperature_mean_c,precipitation_mm,relative_humidity_pct,wind_speed_m_s
41.97,-93.47,2023-01-01,2023,1,2.3,-9.2,-3.8,0.0,69.0,6.2
41.97,-93.47,2023-01-02,2023,1,5.7,-11.2,0.5,0.0,53.5,3.1
41.97,-93.47,2023-01-03,2023,1,6.5,-10.2,-2.1,0.0,69.5,2.8
41.97,-93.47,2023-01-04,2023,1,3.9,-10.8,-3.2,0.0,76.4,3.2
41.97,-93.47,2023-01-05,2023,1,12.6,-2.0,7.3,0.1,98.0,7.8
41.97,-93.47,2023-01-06,2023,1,11.4,-6.4,0.8,1.7,77.6,2.7
41.97,-93.47,2023-01-07,2023,1,9.3,-8.8,-2.0,0.0,57.5,5.1
41.97,-93.47,2023-01-08,2023,1,8.4,-6.7,-0.4,0.0,76.0,7.6
41.97,-93.47,2023-01-09,2023,1,11.7,-5.4,0.2,0.1,73.0,4.3
41.97,-93.47,2023-01-10,2023,1,9.1,-8.6,2.2,0.0,56.2,5.3
41.97,-93.47,2023-01-11,2023,1,6.1,-11.4,0.6,0.0,52.9,2.0
41.97,-93.47,2023-01-12,2023,1,9.1,-11.5,-1.6,0.0,75.9,2.4
41.97,-93.47,2023-01-13,2023,1,8.1,-12.3,-2.9,0.0,47.5,3.9
41.97,-93.47,2023-01-14,2023,1,5.9,-11.5,-1.3,0.0,80.5,4.8
41.97,-93.47,2023-01-15,2023,1,11.0,-8.3,0.7,0.0,64.8,5.1
41.97,-93.47,2023-01-16,2023,1,5.6,-7.5,-2.4,0.0,85.5,3.9
41.97,-93.47,2023-01-17,2023,1,9.0,-5.6,2.3,0.0,54.2,2.5
41.97,-93.47,2023-01-18,2023,1,6.7,-6.5,-0.4,0.0,77.3,5.8
41.97,-93.47,2023-01-19,2023,1,6.7,-10.9,0.4,0.0,77.3,7.4
41.97,-93.47,2023-01-20,2023,1,7.8,-5.2,0.5,0.0,62.1,6.9
41.97,-93.47,2023-01-21,2023,1,-1.8,-14.2,-8.4,0.0,82.7,3.9
41.97,-93.47,2023-01-22,2023,1,9.3,-9.3,0.6,0.0,83.9,7.8
41.97,-93.47,2023-01-23,2023,1,6.6,-7.5,-0.5,1.4,80.1,2.3
41.97,-93.47,2023-01-24,2023,1,1.5,-16.8,-5.4,0.0,50.8,4.9
41.97,-93.47,2023-01-25,2023,1,9.7,-7.1,3.0,0.0,70.3,5.8
41.97,-93.47,2023-01-26,2023,1,10.6,-3.8,1.8,0.0,57.8,3.1
41.97,-93.47,2023-01-27,2023,1,9.6,-5.2,-0.1,0.0,54.1,5.9
41.97,-93.47,2023-01-28,2023,1,4.3,-11.8,-1.9,0.0,82.5,2.8
41.97,-93.47,2023-01-29,2023,1,8.7,-13.9,-2.8,0.0,71.4,6.9
41.97,-93.47,2023-01-30,2023,1,7.5,-10.1,-1.4,0.0,48.7,7.4
41.97,-93.47,2023-01-31,2023,1,7.7,-7.1,0.4,0.0,80.9,7.3
41.97,-93.47,2023-02-01,2023,2,14.4,-5.6,3.9,0.3,95.9,5.6
41.97,-93.47,2023-02-02,2023,2,12.0,-7.5,2.1,0.0,73.5,3.4
41.97,-93.47,2023-02-03,2023,2,5.2,-12.3,-2.1,0.0,79.0,5.9
41.97,-93.47,2023-02-04,2023,2,6.6,-7.9,-1.0,0.0,83.9,4.4
41.97,-93.47,2023-02-05,2023,2,13.3,-7.4,2.0,0.0,65.1,5.5
41.97,-93.47,2023-02-06,2023,2,7.4,-9.6,-2.6,1.6,67.1,7.6
41.97,-93.47,2023-02-07,2023,2,13.2,-9.9,1.5,0.0,45.6,7.6
41.97,-93.47,2023-02-08,2023,2,14.7,-8.0,3.0,0.0,60.4,7.1
41.97,-93.47,2023-02-09,2023,2,8.6,-4.8,1.4,0.0,82.4,6.2
41.97,-93.47,2023-02-10,2023,2,8.2,-13.0,-1.1,1.1,95.1,6.4
41.97,-93.47,2023-02-11,2023,2,11.9,-7.9,2.0,0.0,56.7,6.9
41.97,-93.47,2023-02-12,2023,2,13.9,-6.1,2.5,0.0,76.9,5.9
41.97,-93.47,2023-02-13,2023,2,12.3,-8.2,2.4,0.0,58.5,4.3
41.97,-93.47,2023-02-14,2023,2,7.3,-6.2,2.1,0.0,56.5,5.5
41.97,-93.47,2023-02-15,2023,2,4.2,-6.2,-1.0,0.0,59.4,2.8
41.97,-93.47,2023-02-16,2023,2,12.8,-3.1,6.3,0.1,81.3,5.2
41.97,-93.47,2023-02-17,2023,2,11.4,-8.1,2.0,0.0,65.7,3.9
41.97,-93.47,2023-02-18,2023,2,7.7,-6.0,-0.4,4.9,93.4,6.2
41.97,-93.47,2023-02-19,2023,2,12.0,-2.1,4.1,0.4,82.0,6.3
