field_id,field_name,commodity_2023,field_acres,year,yield_bu_ac,avg_temp_c,max_temp_c,min_temp_c,annual_precip_mm,avg_rh_pct,avg_wind_m_s
F001,North Field,Wheat,179,2023,63.1,14.092328767123288,45.1,-16.8,299.5,68.94027397260274,5.7065753424657535
F002,South Field,Soybeans,138,2023,76.5,12.73890410958904,44.8,-15.5,304.0,68.60027397260274,5.463835616438356
F003,East Field,Corn,240,2023,195.2,14.095342465753426,42.4,-17.2,354.9,68.07671232876713,5.712328767123288
F004,West Field,Alfalfa,64,2023,9.6,13.22931506849315,45.1,-23.3,376.5,66.37232876712329,5.613424657534247
F005,Valley Plot,Corn,200,2023,184.7,13.02931506849315,42.2,-15.7,304.5,68.41013698630137,5.910684931506849
F006,Hilltop Field,Soybeans,145,2023,78.9,13.553972602739725,44.2,-14.7,326.7,69.99479452054794,5.632328767123288
F007,Meadow Pasture,Soybeans,177,2023,56.5,12.322739726027399,41.2,-18.3,353.1,69.83123287671233,5.721369863013699
F008,Cropland A,Corn,145,2023,214.6,15.18986301369863,44.1,-13.2,364.4,69.29534246575342,5.931232876712329
F009,Cropland B,Soybeans,221,2023,70.1,11.837260273972603,40.1,-18.7,298.7,69.97424657534246,5.584657534246576
F010,Pasture North,Wheat,236,2023,62.0,14.707397260273972,44.2,-16.0,240.3,69.5304109589041,5.726575342465753
F011,Ridge Field,Alfalfa,161,2023,9.5,12.60931506849315,44.5,-17.1,254.2,68.49643835616439,5.570958904109589
F012,Bottomland,Alfalfa,133,2023,11.0,11.768219178082191,40.1,-20.5,313.2,69.64904109589041,5.581095890410959
F013,Oak Grove,Corn,177,2023,234.7,14.703287671232877,43.8,-15.8,267.4,69.01643835616439,5.839178082191781
F014,Maple Creek,Wheat,98,2023,47.8,12.721917808219178,43.4,-18.5,386.2,70.00356164383561,5.608219178082192
F015,Prairie View,Soybeans,103,2023,76.5,13.204931506849315,42.4,-17.0,229.7,69.41945205479452,5.742191780821918
F016,Spring Hill,Alfalfa,109,2023,9.9,13.848767123287672,41.8,-18.8,295.4,68.1386301369863,5.478082191780822
F017,Elm Lane,Corn,98,2023,167.0,13.027945205479451,44.3,-17.4,238.5,69.39041095890411,5.65917808219178
F018,Cedar Rapids,Alfalfa,207,2023,8.8,14.821369863013699,44.3,-14.4,284.1,69.99095890410959,5.736712328767124
F019,Pine Haven,Soybeans,178,2023,54.4,12.264109589041094,40.9,-19.0,289.4,68.10986301369863,5.626301369863014
F020,Birch Meadow,Soybeans,225,2023,75.8,12.481095890410959,43.4,-16.5,313.0,68.79068493150685,5.551232876712329
F021,Willow Creek,Corn,209,2023,213.6,13.43178082191781,42.6,-15.6,302.7,68.45123287671233,5.693150684931507
F022,Maple Grove,Alfalfa,130,2023,9.3,13.040000000000001,40.6,-15.9,300.5,69.10356164383562,5.664931506849315
F023,Red Oak,Soybeans,85,2023,74.1,14.055068493150685,42.9,-15.3,350.8,68.65095890410959,5.686301369863013
F024,Silver Lake,Soybeans,196,2023,58.4,13.106849315068493,42.1,-18.2,268.5,69.23917808219178,5.675068493150685
F025,Hickory Hill,Alfalfa,171,2023,9.7,12.973698630136985,42.2,-17.2,399.6,69.95397260273973,5.546849315068493
F026,Walnut Farm,Soybeans,158,2023,79.7,12.266301369863013,40.9,-19.4,267.6,68.03205479452055,5.468767123287671
F027,Chestnut Field,Corn,249,2023,203.9,14.055068493150685,42.9,-15.3,350.8,68.65095890410959,5.686301369863013
F028,Sycamore Plot,Corn,196,2023,197.2,14.402191780821918,47.1,-14.9,284.2,69.06876712328767,5.558904109589041
F029,Cottonwood,Soybeans,235,2023,60.6,13.018082191780822,44.3,-19.0,256.6,67.9786301369863,5.555616438356164
F030,Aspen Ridge,Alfalfa,105,2023,12.2,13.044109589041097,42.0,-17.5,239.2,69.35534246575342,5.61945205479452
F031,River Bend,Alfalfa,55,2023,10.2,12.706849315068494,42.1,-17.5,309.3,68.9786301369863,5.510410958904109
F032,Hillcrest,Wheat,121,2023,57.2,12.865205479452055,44.2,-17.9,281.3,68.92520547945206,5.58027397260274
F033,Farmers Fields,Wheat,241,2023,53.8,13.604657534246575,46.3,-16.2,309.7,69.79616438356165,5.603013698630137
F034,Green Pasture,Soybeans,133,2023,65.4,14.18,42.0,-17.6,275.8,69.05863013698631,5.739726027397261
F035,Sunny Meadow,Corn,171,2023,183.1,14.22054794520548,44.3,-15.8,290.3,68.38219178082191,5.502739726027397
